Account_ID,Customer_Name,Age,Gender,City,State,Account_Type,Balance,Branch_ID,IFSC_Code,Transaction_ID,Transaction_Type,Transaction_Amount,Transaction_Date,Loan_Status,Loan_Amount,Credit_Score,Debit_Card,Net_Banking,Mobile_Banking,Last_Login,KYC_Status,PAN_Number,Aadhar_Number,Email,Phone_Number,Nominee_Name,Account_Open_Date,Interest_Rate,Overdraft_Limit,Account_Status
ACC100000,Kavya Kumar,57,Female,Mumbai,MH,Savings,39996.69,BR545,IFSC74158,TXN6253987,Credit,44921.88,2021-04-03,Closed,35606.97,631,No,Yes,No,2021-09-05,Pending,Y2XLYHV5GH,651512503574,70DCZE@bankmail.com,8473272682,Arjun Sharma,2024-02-22,3.47,100165.74,Active
ACC100001,Rahul Verma,72,Female,Indore,RJ,Savings,458252.49,BR256,IFSC21503,TXN7858285,Debit,13130.6,2022-10-05,Active,257996.57,442,No,Yes,No,2024-10-07,Pending,KKTG4716NB,265666038140,U4V5VW@bankmail.com,8639266595,Rohit Sharma,2020-02-25,4.93,32338.96,Active
ACC100002,Amit Gupta,27,Male,Delhi,UP,Current,813885.1,BR316,IFSC90162,TXN2008251,Credit,28375.6,2024-07-23,Active,187359.0,308,No,No,Yes,2025-05-06,Verified,PP3POFJZLF,921138037643,WXWSPW@bankmail.com,6194193800,Rahul Patel,2020-01-11,5.69,137722.8,Inactive
ACC100003,Priya Jain,32,Female,Pune,DL,Savings,651752.72,BR214,IFSC44308,TXN2411741,Credit,1935.69,2020-04-28,Closed,442997.37,466,Yes,Yes,Yes,2021-02-23,Pending,70SAZCVR2V,947137240211,CYQMI0@bankmail.com,8355583165,Arjun Jain,2024-02-21,8.71,184687.23,Inactive
ACC100004,Amit Gupta,56,Male,Indore,MP,Savings,818832.03,BR853,IFSC75834,TXN3375677,Credit,47090.61,2020-12-07,Pending,43031.16,811,No,No,Yes,2019-06-14,Pending,SFGT6YZXJ5,700134272186,7WNNYI@bankmail.com,6340065174,Arjun Singh,2025-01-22,7.9,94629.75,Active
ACC100005,Arjun Gupta,39,Female,Bhopal,RJ,Savings,105143.71,BR552,IFSC26013,TXN5865125,Credit,40112.35,2022-11-13,Pending,186264.65,479,No,Yes,Yes,2025-01-20,Pending,8SKTSNTBZT,948435547266,AT08Y4@bankmail.com,8053170440,Sneha Verma,2025-07-12,4.35,111336.19,Active
ACC100006,Anjali Jain,38,Male,Lucknow,MH,Savings,600220.82,BR134,IFSC98858,TXN8429738,Credit,28888.41,2023-02-04,Pending,275251.11,888,No,Yes,No,2024-06-09,Pending,XXXZX3PG3Q,383230748325,S514U2@bankmail.com,7483673842,Sneha Jain,2020-08-17,8.86,155437.66,Inactive
ACC100007,Anjali Kumar,55,Female,Jaipur,MH,Savings,283161.93,BR363,IFSC15587,TXN4990779,Credit,32479.07,2019-02-15,Pending,164948.72,653,No,Yes,No,2019-01-10,Pending,2X2M8JW4T3,667517237464,UJWKY5@bankmail.com,9420599973,Rahul Sharma,2019-10-01,4.0,152732.0,Inactive
ACC100008,Rohit Kumar,51,Male,Indore,MP,Savings,254064.91,BR676,IFSC95504,TXN1376279,Debit,25513.13,2026-02-21,Pending,262340.28,305,Yes,Yes,Yes,2025-05-10,Pending,BO6C9S2KQT,108068762464,B59TK6@bankmail.com,7853126580,Priya Gupta,2026-01-05,5.08,149775.16,Active
ACC100009,Arjun Singh,72,Female,Pune,RJ,Savings,636345.89,BR673,IFSC23085,TXN1764646,Credit,33845.42,2026-01-02,Active,144965.91,870,Yes,No,No,2023-11-28,Pending,GUM0JD597M,463414127555,WE68DZ@bankmail.com,9196081981,Rohit Verma,2023-01-06,2.26,54606.65,Inactive
